"province_name","age_group","male2011","female2011","male2016","female2016","rate_male","rate_female"
"ایلام","15-19",28145,27165,19467,17858,-6.16663705809202,-6.85219952144303
"ایلام","20-24",37140,36464,26813,25077,-5.56112008616047,-6.24561211057481
"ایلام","25-29",33989,34162,34731,33871,0.436611845008679,-0.170364732743985
"ایلام","30-34",25731,25984,33190,32849,5.79767595507365,5.28402093596059
"ایلام","35-39",21284,20740,25568,25509,4.02555910543131,4.59884281581485
"ایلام","40-44",18361,18346,20703,20114,2.55105931049507,1.92739561757331
"ایلام","45-49",11965,12377,17847,17739,9.83201002925198,8.66445826937061
"ایلام","50-54",11718,11157,11477,11905,-0.411332991978153,1.34086223895312
"ایلام","55-59",9056,8716,10962,10542,4.20936395759717,4.18999541073887
"ایلام","60-64",6215,7504,8481,8335,7.29203539823009,2.21481876332623
"ایلام","65-69",3409,3797,5776,6928,13.886770313875,16.4919673426389
"ایلام","70-74",3755,2989,3096,3388,-3.50998668442077,2.66978922716628
"ایلام","75-79",3207,2444,3151,2439,-0.349236046149049,-0.0409165302782324
"ایلام","80-84",2787,1725,2477,1727,-2.22461428058845,0.0231884057971014
"ایلام","85-89",896,599,1736,969,18.75,12.3539232053422
"ایلام","90-94",197,228,405,248,21.1167512690355,1.75438596491228
"ایلام","95-99",82,49,64,71,-4.39024390243902,8.97959183673469
"ایلام",">100",44,46,30,39,-6.36363636363636,-3.04347826086957
"ایلام","unknown",38,17,NA,NA,NA,NA
"بوشهر","0-4",49089,46839,59952,57288,4.42583878261932,4.46166655991802
"بوشهر","5-9",41955,39791,52958,50770,5.24514360624479,5.51833329144781
"بوشهر","10-14",35971,34902,42910,41437,3.85810792026911,3.74477107329093
"بوشهر","15-19",45227,41340,39459,34862,-2.55068874787185,-3.13401064344461
"بوشهر","20-24",69240,56178,53318,44365,-4.59907567879838,-4.2055608957243
"بوشهر","25-29",81640,58909,75998,61668,-1.38216560509554,0.936698976387309
"بوشهر","30-34",65555,45916,79454,62879,4.24040881702387,7.38870981792839
"بوشهر","35-39",46542,33967,60884,47736,6.16303553779382,8.10728059587247
"بوشهر","40-44",34641,27519,42435,34318,4.49987009612886,4.94131327446492
"بوشهر","45-49",23471,20530,32748,27661,7.90507434706659,6.94690696541646
"بوشهر","50-54",21408,18307,22410,20739,0.93609865470852,2.65690719396952
"بوشهر","55-59",16396,15710,19777,17788,4.12417662844596,2.64544875875239
"بوشهر","60-64",9266,11864,15222,15353,12.8556011223829,5.88165879973028
"بوشهر","65-69",5127,6134,8309,11078,12.4127169884923,16.1199869579394
"بوشهر","70-74",5952,5972,4596,5445,-4.55645161290323,-1.76490288010717
"بوشهر","75-79",4256,3710,4893,4590,2.99342105263158,4.74393530997305
"بوشهر","80-84",3343,2864,3110,2618,-1.39395752318277,-1.71787709497207
"بوشهر","85-89",1011,1034,1818,1544,15.9643916913947,9.86460348162476
"بوشهر","90-94",215,304,398,423,17.0232558139535,7.82894736842105
"بوشهر","95-99",124,79,52,89,-11.6129032258065,2.53164556962025
"بوشهر",">100",42,74,21,27,-10,-12.7027027027027
"بوشهر","unknown",484,51,NA,NA,NA,NA
"تهران","0-4",421891,403436,497120,469853,3.56627659750978,3.29256685075204
"تهران","5-9",397984,381181,458616,434746,3.04695666157433,2.81047586317261
"تهران","10-14",416408,398557,421075,401141,0.224155155520547,0.129667776503737
